,Date_Time,Global_radiation_horizontal,Diffuse_radiation_horizontal,Global_radiation_tilted_plane,Diffuse_radiation_tilted_plane,Solar_azimuth,Height_of_sun
0,1/1/2016 1:00,0,0,0,0,9.3,0
1,1/1/2016 2:00,0,0,0,0,25.3,0
2,1/1/2016 3:00,0,0,0,0,39,0
3,1/1/2016 4:00,0,0,0,0,50.1,0
4,1/1/2016 5:00,0,0,0,0,59.1,0
5,1/1/2016 6:00,23,11,51,20,66.5,6.2
6,1/1/2016 7:00,205,47,264,61,73.3,18.3
7,1/1/2016 8:00,462,73,486,87,79.5,30.9
8,1/1/2016 9:00,713,88,676,100,86.2,43.7
9,1/1/2016 10:00,929,95,831,105,94,56.6
10,1/1/2016 11:00,1093,97,945,105,106.1,69.3
11,1/1/2016 12:00,1194,96,1016,102,140.2,80.4
12,1/1/2016 13:00,1226,96,1044,103,133.2,79.4
13,1/1/2016 14:00,1187,96,1028,106,104.2,67.9
14,1/1/2016 15:00,1080,97,969,109,93,55.1
15,1/1/2016 16:00,910,95,868,110,85.3,42.2
16,1/1/2016 17:00,689,87,732,104,79.1,29.4
17,1/1/2016 18:00,436,70,576,89,72.5,16.9
18,1/1/2016 19:00,182,44,321,63,66,4.8
19,1/1/2016 20:00,15,8,7,7,58.1,0
20,1/1/2016 21:00,0,0,0,0,48.6,0
21,1/1/2016 22:00,0,0,0,0,37.4,0
22,1/1/2016 23:00,0,0,0,0,23.4,0
23,1/1/2016 0:00,0,0,0,0,7.3,0
24,1/2/2016 1:00,0,0,0,0,9.2,0
25,1/2/2016 2:00,0,0,0,0,25.2,0
26,1/2/2016 3:00,0,0,0,0,38.6,0
27,1/2/2016 4:00,0,0,0,0,50.1,0
28,1/2/2016 5:00,0,0,0,0,59.1,0
29,1/2/2016 6:00,23,10,51,18,66.5,6.1
30,1/2/2016 7:00,206,43,265,57,73.3,18.2
31,1/2/2016 8:00,464,67,487,80,79.5,30.8
32,1/2/2016 9:00,717,81,679,93,86.2,43.6
33,1/2/2016 10:00,934,87,834,98,94.1,56.5
34,1/2/2016 11:00,1100,89,949,97,106.1,69.2
35,1/2/2016 12:00,1202,88,1021,95,140,80.3
36,1/2/2016 13:00,1234,87,1049,95,134,79.4
37,1/2/2016 14:00,1196,88,1034,98,104.3,67.9
38,1/2/2016 15:00,1088,89,974,101,93.1,55.2
39,1/2/2016 16:00,918,87,873,102,85.4,42.3
40,1/2/2016 17:00,697,80,738,97,79.1,29.5
41,1/2/2016 18:00,443,65,584,83,72.5,17
42,1/2/2016 19:00,186,41,330,60,66.1,4.9
43,1/2/2016 20:00,16,8,7,7,58.2,0
44,1/2/2016 21:00,0,0,0,0,49.1,0
45,1/2/2016 22:00,0,0,0,0,37.4,0
46,1/2/2016 23:00,0,0,0,0,23.5,0
47,1/2/2016 0:00,0,0,0,0,7.4,0
48,1/3/2016 1:00,0,0,0,0,9.2,0
49,1/3/2016 2:00,0,0,0,0,25.2,0
50,1/3/2016 3:00,0,0,0,0,38.6,0
51,1/3/2016 4:00,0,0,0,0,50.1,0
