Year,Month,Day,Hour,Global_radiation_horizontal,Diffuse_radiation_horizontal,Global_radiation_tilted_plane,Diffuse_radiation_tilted_plane,Solar_azimuth,Height_of_sun
2005,1,1,1,0,0,0,0,-9.3,0
2005,1,1,2,0,0,0,0,-25.3,0
2005,1,1,3,0,0,0,0,-39,0
2005,1,1,4,0,0,0,0,-50.1,0
2005,1,1,5,0,0,0,0,-59.1,0
2005,1,1,6,23,11,51,20,-66.5,6.2
2005,1,1,7,205,47,264,61,-73.3,18.3
2005,1,1,8,462,73,486,87,-79.5,30.9
2005,1,1,9,713,88,676,100,-86.2,43.7
2005,1,1,10,929,95,831,105,-94,56.6
2005,1,1,11,1093,97,945,105,-106.1,69.3
2005,1,1,12,1194,96,1016,102,-140.2,80.4
2005,1,1,13,1226,96,1044,103,133.2,79.4
2005,1,1,14,1187,96,1028,106,104.2,67.9
2005,1,1,15,1080,97,969,109,93,55.1
2005,1,1,16,910,95,868,110,85.3,42.2
2005,1,1,17,689,87,732,104,79.1,29.4
2005,1,1,18,436,70,576,89,72.5,16.9
2005,1,1,19,182,44,321,63,66,4.8
2005,1,1,20,15,8,7,7,58.1,0
2005,1,1,21,0,0,0,0,48.6,0
2005,1,1,22,0,0,0,0,37.4,0
2005,1,1,23,0,0,0,0,23.4,0
2005,1,1,24,0,0,0,0,7.3,0
2005,1,2,1,0,0,0,0,-9.2,0
2005,1,2,2,0,0,0,0,-25.2,0
2005,1,2,3,0,0,0,0,-38.6,0
2005,1,2,4,0,0,0,0,-50.1,0
2005,1,2,5,0,0,0,0,-59.1,0
2005,1,2,6,23,10,51,18,-66.5,6.1
2005,1,2,7,206,43,265,57,-73.3,18.2
2005,1,2,8,464,67,487,80,-79.5,30.8
2005,1,2,9,717,81,679,93,-86.2,43.6
2005,1,2,10,934,87,834,98,-94.1,56.5
2005,1,2,11,1100,89,949,97,-106.1,69.2
2005,1,2,12,1202,88,1021,95,-140,80.3
2005,1,2,13,1234,87,1049,95,134,79.4
2005,1,2,14,1196,88,1034,98,104.3,67.9
2005,1,2,15,1088,89,974,101,93.1,55.2
2005,1,2,16,918,87,873,102,85.4,42.3
2005,1,2,17,697,80,738,97,79.1,29.5
2005,1,2,18,443,65,584,83,72.5,17
2005,1,2,19,186,41,330,60,66.1,4.9
2005,1,2,20,16,8,7,7,58.2,0
2005,1,2,21,0,0,0,0,49.1,0
2005,1,2,22,0,0,0,0,37.4,0
2005,1,2,23,0,0,0,0,23.5,0
2005,1,2,24,0,0,0,0,7.4,0
2005,1,3,1,0,0,0,0,-9.2,0
2005,1,3,2,0,0,0,0,-25.2,0
2005,1,3,3,0,0,0,0,-38.6,0
2005,1,3,4,0,0,0,0,-50.1,0
2005,1,3,5,0,0,0,0,-59.1,0
2005,1,3,6,22,9,50,17,-66.5,5.9
2005,1,3,7,206,41,266,54,-73.4,18.1
2005,1,3,8,465,63,488,76,-79.6,30.6
2005,1,3,9,718,76,680,88,-86.3,43.4
2005,1,3,10,937,82,836,93,-94.1,56.4
2005,1,3,11,1103,84,951,93,-106.2,69.1
2005,1,3,12,1206,83,1024,90,-139.5,80.2
2005,1,3,13,1239,82,1052,90,134.5,79.4
2005,1,3,14,1201,83,1037,93,104.5,68
2005,1,3,15,1094,84,977,96,93.2,55.3
2005,1,3,16,923,82,877,97,85.5,42.4
2005,1,3,17,702,76,742,92,79.2,29.6
2005,1,3,18,447,62,589,79,73,17
2005,1,3,19,189,39,334,56,66.2,4.9
2005,1,3,20,16,7,7,7,58.3,0
2005,1,3,21,0,0,0,0,49.1,0
2005,1,3,22,0,0,0,0,37.5,0
2005,1,3,23,0,0,0,0,24,0
2005,1,3,24,0,0,0,0,7.5,0
2005,1,4,1,0,0,0,0,-9.1,0
2005,1,4,2,0,0,0,0,-25.1,0
2005,1,4,3,0,0,0,0,-38.6,0
2005,1,4,4,0,0,0,0,-50.1,0
2005,1,4,5,0,0,0,0,-59.1,0
2005,1,4,6,20,9,32,12,-66.5,5.8
2005,1,4,7,201,42,260,56,-73.4,17.9
2005,1,4,8,460,66,482,78,-79.6,30.5
2005,1,4,9,713,80,674,92,-86.3,43.3
2005,1,4,10,931,86,831,97,-94.2,56.2
2005,1,4,11,1098,88,947,96,-106.2,68.9
2005,1,4,12,1201,87,1019,94,-139.5,80
2005,1,4,13,1235,86,1048,94,135.3,79.4
2005,1,4,14,1197,87,1033,97,105.1,68.1
2005,1,4,15,1090,88,974,100,93.4,55.3
2005,1,4,16,921,86,873,101,86,42.4
2005,1,4,17,700,79,739,96,79.3,29.6
2005,1,4,18,446,65,584,82,73.1,17.1
2005,1,4,19,188,41,332,60,66.2,5
2005,1,4,20,16,8,7,7,58.4,0
2005,1,4,21,0,0,0,0,49.2,0
2005,1,4,22,0,0,0,0,38,0
2005,1,4,23,0,0,0,0,24.1,0
2005,1,4,24,0,0,0,0,7.6,0
2005,1,5,1,0,0,0,0,-9,0
2005,1,5,2,0,0,0,0,-25.1,0
2005,1,5,3,0,0,0,0,-38.5,0
2005,1,5,4,0,0,0,0,-50.1,0
2005,1,5,5,0,0,0,0,-59.1,0
2005,1,5,6,19,9,29,13,-66.6,5.7
2005,1,5,7,192,48,248,62,-73.4,17.8
2005,1,5,8,447,76,471,90,-80,30.4
2005,1,5,9,699,93,662,105,-86.3,43.2
2005,1,5,10,916,101,818,111,-94.2,56.1
2005,1,5,11,1082,103,934,110,-106.3,68.8
2005,1,5,12,1185,102,1006,108,-139.4,79.9
2005,1,5,13,1219,102,1035,108,136.2,79.4
2005,1,5,14,1183,102,1021,111,105.4,68.1
2005,1,5,15,1077,103,962,115,93.5,55.4
2005,1,5,16,909,101,862,115,86.1,42.5
2005,1,5,17,689,92,726,109,79.4,29.7
2005,1,5,18,437,75,569,93,73.2,17.1
2005,1,5,19,183,47,316,66,66.3,5
2005,1,5,20,16,8,8,8,58.5,0
2005,1,5,21,0,0,0,0,49.3,0
2005,1,5,22,0,0,0,0,38.1,0
2005,1,5,23,0,0,0,0,24.2,0
2005,1,5,24,0,0,0,0,8.1,0
2005,1,6,1,0,0,0,0,-8.6,0
2005,1,6,2,0,0,0,0,-25.1,0
2005,1,6,3,0,0,0,0,-38.5,0
2005,1,6,4,0,0,0,0,-50.1,0
2005,1,6,5,0,0,0,0,-59.2,0
2005,1,6,6,18,9,29,12,-66.6,5.5
2005,1,6,7,192,45,248,58,-73.4,17.7
2005,1,6,8,448,71,472,85,-80.1,30.2
2005,1,6,9,701,87,663,99,-86.4,43.1
2005,1,6,10,920,94,820,104,-94.3,56
2005,1,6,11,1087,96,937,104,-106.4,68.7
2005,1,6,12,1191,96,1009,102,-139.3,79.7
2005,1,6,13,1226,95,1039,102,137.1,79.4
2005,1,6,14,1189,96,1024,105,105.6,68.1
2005,1,6,15,1084,96,966,108,94.1,55.4
2005,1,6,16,915,94,866,109,86.2,42.5
2005,1,6,17,695,87,731,103,79.5,29.7
2005,1,6,18,442,70,575,88,73.3,17.2
2005,1,6,19,186,44,323,63,66.4,5
2005,1,6,20,16,8,8,8,58.6,0
2005,1,6,21,0,0,0,0,49.4,0
2005,1,6,22,0,0,0,0,38.2,0
2005,1,6,23,0,0,0,0,24.3,0
2005,1,6,24,0,0,0,0,8.2,0
2005,1,7,1,0,0,0,0,-8.5,0
2005,1,7,2,0,0,0,0,-25,0
2005,1,7,3,0,0,0,0,-38.5,0
2005,1,7,4,0,0,0,0,-50.1,0
2005,1,7,5,0,0,0,0,-59.2,0
2005,1,7,6,17,8,28,11,-67,5.4
2005,1,7,7,192,43,248,56,-73.5,17.5
2005,1,7,8,449,67,472,81,-80.1,30.1
2005,1,7,9,703,82,664,94,-86.5,42.9
2005,1,7,10,922,89,821,100,-94.4,55.8
2005,1,7,11,1090,91,938,99,-106.5,68.5
2005,1,7,12,1195,90,1011,97,-139.3,79.6
2005,1,7,13,1230,90,1041,97,137.6,79.3
2005,1,7,14,1194,90,1027,100,106.2,68.2
2005,1,7,15,1089,91,968,103,94.2,55.5
2005,1,7,16,920,89,869,104,86.3,42.6
2005,1,7,17,700,82,734,99,80,29.8
2005,1,7,18,446,67,579,85,73.4,17.2
